,author,content,dt,title
146,natcarr-74-27114,"Loved this movie, even at almost 3 hours long it didn't drag. Joss Wheddon (Firefly and Buffy) effortlessly out did all of the battle scenes in every Transformer movie with the climatic showdown. there are even two or three seriously laugh out loud moments, mostly concerning The Hulk, but don't worry the film takes itself fairly seriously so you can escape into the story and immerse yourself.Fans of Ironman, Thor and Captain America will not be disappointed. Every one of the superheroes gets their moment in the sun. And of course, there's Scarlett's character Black Widow. YUM! I'm giving the movie 10/10 (2D HD version) because it's so entertaining and it fulfilled all my expectations. You won't be disappointed.As far as the format goes though, stick with HD, there wasn't any real 3D moments. If you are hugely into your 3D experience, think twice before paying the extra, there wasn't any stand out 3D moments, but lots of out of focus backgrounds which kinda wasted the small fortune that must have been spent on production. Go HD you'll get a better experience.",14 May 2012," Big thumbs up for The Avengers
"
147,venjix2013,"This film is not only spectacular but its an ""historic"" superhero feature film at its best. This is worth the wait. Hell, this was worth the wait 7 years ago when it was first developed. Do we really think this will be in development hell? This is The Avengers ""EARTH'S MIGHTIEST HEROES!"" This is something what has NEVER been done before & Marvel has got there finger on the pulse. In 1998, a minor marvel character featuring a human/vampire hybrid made it way to the big screen. In 2000, a group of mutants evolved into the box office. In 2002, was the year of the Spider.After Daredevil, Hulk (Ang Lee), The Punisher, Elektra, Man-Thing, Fantastic Four & Ghost Rider, Marvel Studios would start producing its own films and distribute them through Paramount Pictures & the funding will come from a seven-year, $525 million revolving credit facility with Merrill Lynch. The result led to the creation of the ""Marvel Cinematic Universe"". Sounds cool, right? It was. No, really, It F***in' was. Iron Man made its motion picture debut, The Hulk got rebooted, Thor & Captain America have ""FINALLY"" got the Big screen treatment. Then came a huge shift in the Marvel universe.... Marvel Entertainment is now owned by Mickey Mouse.Amazing. Disney let go the Power Rangers franchise & bought Marvel.But after everything from comics to TV & film Marvel has put out it comes to show just how far they come as a company & knowing the fact that the biggest supporters (including me) are the fans. That is why they CAN NOT Disappoint us. Yeah, we complain about story lines, costumes & special effects, But if they stay true to the comics, the films would have done its justice. But i know deep down, Marvel Studios will always put out films & stay close to the material. So, what i've said earlier, was it worth the wait? Yes. Yes it was ""definitely"" worth it.Marvel Studios, the cast & crew of The Avengers did an amazing job & on the Marvel Cinematic Universe & i can't wait to see what comes next.Now if DC & Warner Bros. step their game up, we would like to see the Justice League into the big screen.",13 May 2012," Spectacular & Historic
"
148,A_Different_Drummer,"As a reviewer, I don't mess up often but, just like the line where Stark is ribbing Loki, sometimes even an IMDb top reviewer can have performance issues.My first view, I was annoyed that so much time was spent on backstory and it took an hour to get the ball rolling. Although in fairness once this story starts to move in the second hour, it MOVES.By my third viewing I could see the issue. I grew up with these characters and I had expectations. The expectations were incorrect, I now know, because those expectations were the reason the Marvel library was such a mess before the arrival of the Whedon Bros.So what Joss did was analyzed what was not working in past Marvel films then de-constructed the Avengers story, then build a film which could act as a base for future sequels, wit ha solid foundation.And wrote a script to die for. By the third time around I was actually listening to the film instead of just watching, and boy can that guy write.Like the line I posted as the title of this review. It took me 3 viewings to catch it. It is sly, it is sexual, and it is totally easy to overlook in all the action. But I was on the floor laughing.So there you go, it is fun, action packed (last hour), written at an Oscar level, the characters are perfectly cast (except the Nick Fury I grew up with was Caucasion, but I guess no one remembers) and, to keep the suits happy, not only made a bundle on its own but launched a new franchise.So that's a 10***********************************************ATT IMDb READERS IN THE BLIND -- ATT IMDb READERS IN THE BLINDJust watched this for the 8th time and want to update my review. As of this year (2017) this is, at the same time, one of the best ""action"" films in the history of the medium and one of the best scripts in the history of action films. I believe Joss received only one award for the screenplay, which is a pity, because it shows that the industry simply does not respect this genre. The little twists and turns that hold viewer attention like glue (""I'M ALWAYS ANGRY"" ""PUNY GOD"") are a Whedon trademark, and massively under-appreciated. I will also suggest that nothing with the Marvel brand that has arrived since Avengers I has been this good -- and I am including all their TV and other off-cable projects in that comment. The only flaw, and I mean the ONLY one, is that the close of this film sets an entire armada of ""politically correct"" followups having to do with the public blaming superheroes ... for being superheroes. Personally, as a superhero fan for over 60 years, I think that entire arc sucks and one day Marvel will figure that out. Otherwise perfect film!",27 January 2015," ""You and I remember Budapest very differently"" (dialog)
"
149,dee.reid,"As you well know by now, ""The Avengers"" is a large-scale superhero film that was four years in the making, with no less than four individual - yet inter-connected superhero films - feeding into this film's overall story. Joss ""Firefly"" Whedon was the director and co-writer on this highly ambitious project that is an adaptation of the Marvel Comics superhero team co-created by Stan Lee (who also appears in a very small cameo, like almost every other movie adaptation of a superhero he had a hand in creating) and the late Jack Kirby. Steve Rogers/Captain America (Chris Evans), Tony Stark/Iron Man (Robert Downey, Jr.), Bruce Banner/The Incredible Hulk (Mark Ruffalo), Thor (Chris Hemsworth), Natasha Romanoff/The Black Widow (Scarlet Johansson), and Clint Barton/Hawkeye (Jeremy Renner) are the six misfits chosen by Nick Fury, Agent of S.H.I.E.L.D. (Samuel L. Jackson) to defeat the traitorous Asgardian misfit Loki (Tom Hiddleston) and his alien army from laying waste to New York City. And of course, six characters usually accustomed to working alone have to work out their differences and come together as a team to save the world. What gets ""The Avengers"" many points is that beside its big action sequences, fights and special effects, we never really lose sight of the characters (who are usually relegated to the background in a movie like this) and who they are. I liked that the movie actually spent time developing the individual characters so that we get to know them all over again - even though they've all already appeared in previous superhero films. It's all big superhero fun, with a knowing wink and an outstanding sense of humor that manages to elicit some strong laughs from anyone viewing this thing with an open mind. Sit back and enjoy!10/10P.S.: What happened to Dr. Henry ""Hank"" Pym/Giant-Man and Janet van Dyne/The Wasp? Weren't they part of the original Avengers team line-up (before ""The Avengers #4"" when Captain America became team leader, marking the character's Silver Age debut)? This was my only real complaint about ""The Avengers.""",9 July 2012," ""The Avengers"" (2012)
"
150,jasonpachar,"In 2008, we were re-introduced to a comic book that we grew up as kids reading – Iron Man. But this time, an epic adventure that gave us a lesson in identity. An identity of sorts, an identity of personal growth. But the enemy was within the ranks of the inner circle – a friend betrays a friend.In 2010, that identity continues but in a whole new way, the billionaire playboy Tony Stark continues his quest to rid the world of evil and mass destruction. But the enemy grows – and there is only one way to destroy it – an enemy from the Russian federation, an enemy with a grudge.In 2013 – it all comes to an epic conclusion – as we see in this final installment in this franchise – we see our hero as he faces something more terrifying than Obadiah Stane, more menacing than Whiplash, a firey Mandarin – this is no ordinary villain it brings out the worst in our hero and yet he begins to unravel before our eyes.What's next for our hero? Will he be back? Or is this the end This trilogy could not happen without the greatest actor of our generation – an actor who brought us to our knees in WonderBoys and created chemistry with Ally McBeal – Robert Downey, Jr. And an actress who loves to country croon and scream – Gwyneth Paltrow. To the villains – Jeff Bridges, Mickey Rourke, Sir Ben Kingsley & Guy Pearce, - could there be more evil for Iron Man to fight? The 2 directors that brought all the drama, romance and yea – the sense of adventure – Jon Favreau and Shane Black, does Shane Black return or will Jon Favreau helm the 4th installment? All we know is that there is an..IRON MAN 4 in the works.This movie rocks.",26 June 2014," An Adventurous Continuation(retracted)
"
151,MovieSonic,"It took me ages to watch this because of all the conflicting reviews. I thought it was going to be as bad/boring as Terminator Salvation or The Dark Knight Rises.This film was fantastic! Easily the best of the Iron Mans (although the first will always be 'the best', this one is repeat-watch-worthy).Now that I know how awesome this film is, I think the negative reviews make more sense: they seem to focus on things like 'but the bad guy isn't the same as the comic' or 'that's not believable' etc. so let's ignore those because that's just irrelevant. The film can still be good without sticking 100% to the comics! I can't believe some people complain about the realism when we're dealing with magic and flying iron man suits but okay, let's mark the film down because the hero didn't break his back quite enough in that scene?! I've given this a ten because the story progresses brilliantly, there are so many extra scenes included that you would normally expect to be edited out to keep the running time down but the fact that they're left in means the film has a well-rounded feel to it. Contrary to some opinions, I like that the woman has the chance to save the day instead of 'just' being eye-candy (Gwyneth wears the most amazing white office power-suit ever; congrats to the designer), it is a bit patronising to just have one scene of saving the day but it's better than nothing. One of the bad guys (Guy Pearce) is building a great profile for himself as being someone to watch out for as he might just steal the show! This film had it all, yes there's a cute kid, but this is Iron Man so it never gets cheesy and actually there are some hilarious scenes between Robert Downey Jr and the kid. There's loads of humour and the action is great.Everyone gets just the right amount of screen time in my opinion and I'm actually going to watch this again which is rare for me.10/10 as it's an excellent film - not perfect but excellent.",10 December 2013," Excellent comic action film; watch it!
"
152,shashank-mishra2008,"Watched Iron Man-3 today and I MUST say it was a BLAST out there. Standout performances from Robert Downey Jr and Ben Kingsley (SpeCiallY) It was a follow-up of The Avengers & i MUST say i had d same feeling in d FINALe of this one as in the Avengers .....awesome MOVIE-awesome COMEDY-ACTION scenes were beyond GREAT & d SCENE where IRON MAN(not TONY ) saves 13 people falling from a AIRPLANE at same time......but FRIENDS don't watch it in 3D which was added after production as it robs the screen of much-needed brightness and color and contributes nothing positiveWell Must say this one was more about TONY STARK & less about IRON MAN....& here ""EVERYBODY was IRON MAN even PEPPER""..........So everybody MUST watch this piece of ART even u r not a SUPERHERO fan at all,but after this U surely will be.",1 October 2013," Iron Man is the real Avenger...
"
153,mjdavis3297-334-237496,"I was looking forward to see what happened to Tony Stark and Iron Man especially after the events of The Avengers, and while I enjoyed it, I felt the whole movie was a bit overlong, but the ending knocked it out of the park! I will watch this again, as it is rare to find a movie I will watch a second time anymore. Do not let he comic book fan boys and smart marks talk you out of seeing this movie! A fantastic movie that will help lead these Marvel characters into ""Phase 2"" - so bring your family to the theater and enjoy and exciting movie! Although just a little bit of an improvement over Iron Man 2, this now makes me really look forward to Thor:The Dark World in November!",27 June 2013," This third time is the charm!
"
154,stojkovickatarina34,"It's a great movie very different than the other two. Honestly I was surprised by the plot by it was a positive surprise. only thing I hate is the end in which they remove that thing out of his heart. that act makes you question: ,, What the hell was he waiting till now?!"" Like if he wanted to do that to protect the only thing he loves Pepper he could done it earlier. But it's only mine opinion so enjoy the movie because take everything bad aside it's still a great movie 10/10 <3 all of the movies with RDJ are great, so no matter how bad or excellent it is it's always all about him <3<3<3 love him love him love him !!!!!The best part is always the first one, so I get this crazy feeling that every trilogy has lame end. If nothing else I enjoy in his Audi R8 and etc. and awesome suits. It's kinda weird that Pots actually wears the suit, like, OMG I want that too, but one thing brings me down and thats the fact that it's only a fiction LOL !!! I like the 3D version and no matter what they gonna end up with in Avengers 2 everyone likes Tony <3 Stark <3 so me too VERY MUCH,just kidding...or maybe not !... <3...",11 July 2013," 3D Extreme
"
155,lRandomnessl,"The movie relates deeply with the previous 3 (including the Avengers) and the psychological state of Tony Stark in the whole movie made sense and gave a fair share of events! Can't really complain of anything, the originality in the development of the plot as an extension of what it followed tops everything else. The humor was there, the love moments were there, the action was there and on top *spoiler* Bruce Banner was there :D Gotta love these two together, glad Marvel is feeling the same way. Really really really excited to see how his return will be played out for Iron Man 4 or The Avengers 2, I have complete faith in there brilliancy with writing. Good work Marvel.",12 October 2013," It made sense, & I love it for that.
"
156,asim_majdanac_asko,"This is the awesomest Iron Man movie of all. It's great. It has everything funny parts, action, i mean lots of action, it has even a 'time to cry' parts, by that i mean the ending fireworks. Whose idea was that, blow away all the Iron Mans. The writers did a great work, except the ending, the fireworks using Iron Man, aw come on. Robert did a great job. Nothing is missing. It continues Avengers, which is great. Little number of mistakes, goofs and bloopers unlike Avengers. Tony's car is same Audi R8 but in Iron Man style it's awesome. Shane Black did a quite a good job. As the rest of the team congratulations on a great work. And of course it would be better if you put Obama in Iron Man suit except president Ellis. I'm just joking. The movie is great now we wait for more Marvel movies.",19 May 2013," Great movie
"
157,jpachar82,"In 2008, we were re-introduced to a comic book that we grew up as kids reading – Iron Man. But this time, an epic adventure that gave us a lesson in identity. An identity of sorts, an identity of personal growth. But the enemy was within the ranks of the inner circle – a friend betrays a friend. In 2010, that identity continues but in a whole new way, the billionaire playboy Tony Stark continues his quest to rid the world of evil and mass destruction. But the enemy grows – and there is only one way to destroy it – an enemy from the Russian federation, an enemy with a grudge.In 2013 – it all comes to an epic conclusion – as we see in this final installment in this franchise – we see our hero as he faces something more terrifying than Obadiah Stane, more menacing than Whiplash, a firey Mandarin – this is no ordinary villain it brings out the worst in our hero and yet he begins to unravel before our eyes. What's next for our hero? Will he be back? Or is this the endThis trilogy could not happen without the greatest actor of our generation – an actor who brought us to our knees in WonderBoys and created chemistry with Ally McBeal – Robert Downey, Jr. And an actress who loves to country croon and scream – Gwyneth Paltrow. To the villains – Jeff Bridges, Mickey Rourke, Sir Ben Kingsley & Guy Pearce, - could there be more evil for Iron Man to fight? The 2 directors that brought all the drama, romance and yea – the sense of adventure – Jon Favreau and Shane Black, does Shane Black return or will Jon Favreau helm the 4th installment? All we know is that there is an..IRON MAN 4 in the works.THIS MOVIE ROCKS!!!!!!!!!!!!!!!!",4 May 2013," An Adventurous Continuation(retracted)
"
158,gabrielletriolo,"The biggest hit of the summer was Disney's ""Iron Man 3,"" which made $408.6 million domestically and $1.2 billion worldwide. Huffington Post I guess the people who didn't like the movie didn't understand the complexity of the plot. It was twisted and so unpredictable, that's what made it so interesting. I was so relieved to not have to sit through another formula film. In the dollar theater now and your still able to see it in 3-D. It was packed in the theater and it has been out for a long time. I was really pleasantly surprised. Considering I haven't seen the first 2 I thought I might be lost but not at all and the technology was so incredibly fun to watch. The action was not to long and drawn out and it was funny to. Must See!",2 September 2013," The biggest hit of the summer was Disney's Iron Man 3- NOT A LET DOWN!
"
159,adolce95,"This is the best super hero movie I have ever seen. It was complete in every way, with the humor and plot and characters. Robert Downey Jr. plays Tony Stark perfectly, and the plot twist in the middle is great. I had no complaints about this movie. This film is the best movie, by far of the Iron Man series, and of every series of super hero movies. It has the action and sci-fi content, the dramatic content, as well as the humor to almost classify it as a comedy. This movie also proves that Tony Stark does not need the suit to be a successful hero, he can more than handle thing with only his wits and his knack of creating things. This was one of the best films I have ever seen.",3 December 2013," Brilliant
"
160,yashrajs536,OMG!! How the marvel studios has managed to make their greatest star to a great movie I have to say this that there should be appreciation for marvel studios or such a great film.Basically I am both DC and marvel comics fan but I hope that the character ill be taken into another level in future films.In this film I like the action scenes as well as the graphics story and whatever and I have to say that they had made such a beautifully film and they had also make great use of their budget.Robert Downey Jr. His efforts has taken this franchise to an another level and I have to say that he is the real iron man he totally suits for this role he is born for this role.,11 December 2014," Becoming iron man fan
"
161,olliesykes1998,"I thought the film was really good but the only negative thing I have to say the actor who played the mandarin and the president was really Not good at acting apart from that the acting was brilliant especially the actor who played tony stark. I'd just like to say the mark 42 iron man suit was amazing !!!!! And the person who made the suit for the film has a an amazing, creative mind. PLEASE bring another film out just to make the iron man film come to an end for example making tony stark die. Or a bad guy detonating a nuclear bomb that is going to kill millions of people and tony and the bad guy have to fight to the death and tony has to stop the bomb detonating and ends up killing himself just to stop the bomb",19 April 2014," Iron man 3
"
162,stargatesam,"I love the fact that Marvel knew ""we can't go bigger than we've just gone."" Meaning that to try and follow Avengers with bigger wild action would have been futile. So, they went in a unique, deeper and more powerful direction. Sure there are stunning action sequences but everything is in context of a greater theme and the entire story. They absolutely played this one just right. They let The Avengers sit on its own and didn't do anything but feed off the momentum and actions of that film. Everything here is focused on Tony Stark and his immediate universe. Avengers 2 is the last thing on anyone's mind watching this and, as much as I loved Avengers, that's a good thing. Everything needs to kind of re-set and take a breath. This movie is NOT concerned with being connected to anything larger or having Nick Fury come in and solve or oversee anything. The events in The Avengers are addressed but only felt as to their effect on Tony's psyche. This movie is about Tony Stark's journey after we've seen him last. It really does perfectly explore his character and develops him deeper than we have seen since the first act of the very first film. It really is the perfect way to go and everything is exceptionally well done.",22 April 2013," Wonderful! They absolutely played this one just right.
"
163,AfterBuzz,"Yeah, he can still fly!!!!!! There's no doubt, IM3 is one of the better action/adventure movies in recent memory and certainly one of the better number three films in a franchise. This movie picks up from Avengers and shifts gears in such a great way. Its depth of emotion and character combined with tremendous fun means this could very well be the best solo character comic book movie ever produced. Yes, I know that's saying a lot these days in an era where hero films are all over the place and especially when multiple sequels often struggle. That's exactly why it's worth the effort to write this review. People need to know that they need not be afraid of the number three because this movie is superb in every way and tops even the original Iron Man. The finale here may be the best action scene of the year and the story points that lead to it are handled exquisitely. I'm so glad Marvel learned from the last two films in that regard. The ending battles in both Iron Man movies should have been longer. Here, the whole third act is intense and completely compelling without crossing in to video game action type territory.Overall, I simply adored everything about this movie. I did enjoy the original Iron Man a ton because it was refreshing and new. What's amazing is that they managed to almost re-invent the character here and deliver something fresh again. I honestly wasn't expecting that to be the case. I would have been happy with more of the same but this is actually better. Kudos to everyone who made this film for pulling that off.",20 April 2013," Just A Great Movie! Delivers Depth Of Emotion And Tremendous Fun
"
164,aequus314,"Oh man... this is so good in an unfamiliar way. It has rekindled the spark of a teenager trapped in the shell of a cynical adult movie goer.In a race that began in 2008 to be crowned Hollywood's Coolest and Most Awesome Superhero Movie, the score is now 3-1 with Iron Man on a two- point lead. The screenplay, co-written between Shane Black (Lethal Weapon, The Last Boy Scout) and Drew Pearce is cleverly penned and packs the right punch for an action movie. By drumming up the significance of Tony Stark's development from previous films (The Avengers, Iron Man 1 & 2) without losing grip of dramatic unity as a whole; Shane Black (also the film's director) conceptualized a heroically simple, winning formula.Another satisfying aspect of Iron Man 3 (and this converts to audience payoff at the end of 130 minutes), is the sweet simple fact that narrative does not detain viewers with unnecessary exposition and scenes. The big bad guys waste no time playing mind-games for the sake of delaying a final showdown, thus one-upping other blockbusters where it counts. Ergo, no shortchanging and an effortlessly fluid plot.Things kick off with a flashback to 1999 during pre-Iron Man days, establishing Tony Stark's first meeting with future adversary — a then crippled scientist named Aldrich Killian. Desperate for resources from Stark Industries to develop experimental virus ""Extremis"" (yet turned away so unceremoniously), sets off rising malevolence from Killian (played by the unforgettable Guy Pearce, even more loathsome here than when he was hateful Charlie Rakes in Lawless). There's also brazen, immediate threat from a grim terrorist leader (Ben Kingsley's prowess and versatility in full glory here as both The Mandarin and Trevor Slattery) — bent on blowing up America at whatever cost necessary. And for what it's worth, I like the spin on Pepper Potts' (Gwyneth Paltrow) damsel-in-distress anticipated — compelling touch to an otherwise archetypal character.To further inject urgency in the conflict, Tony Stark wrestles with the aftermath of New York (from The Avengers) and taunts The Mandarin on national TV, further exacerbating his wrath. A strike against Stark's mansion hatches a loosely comedic, coming-of-age with 10 year old Harley — it is here that leading man Robert Downey Jr. ingratiates himself as one of the best personality actors in Hollywood — incensed with moral rage at the right moments, oozing unsentimental smooth in others.I had fun spotting flashes of nostalgia in favorite superhero moments (Spiderman, Superman, Batman and even Transformers) throughout the show as well, and still can't believe they destroyed a fine looking limited edition Dora the Explorer digital watch. Nor of the fact that a highly entertaining movie just ended. What a generous, high-octane hell of a ride.cinemainterruptus.wordpress.com",3 May 2013," Red is the new Black
"
165,shrikanta-urs,"I have been reading reviews from the folks who haven't tasted the adrenalin yet or may be they had lost their tongue. To be more clear, go an ask how that fish tastes to a veggie guy, he will bluff.... aaawwwkward. I used to watch movie based on the reviews, likes and dislikes... eventually, I learnt...there is a gap between hardcore critics and hardcore movie watchers. I belong to the latter, my suggestion...don't buy in for the critics. If you are A fan, go and watch it..I bet u will not be sorry. This is amazingly an unique story, followed by the words and the acts which makes you go wow. I never felt taking a break in between and I was glued to my seat even after the movie ended. Honestly, go watch then type the crap.. and I bet...u will be amazed. The best Iron man u can think of!!",28 April 2013," if you are addicted to fiction, u don't wanna miss it!!
"
166,igorsantagueda,"I love every Iron Man movie and I must say this one is the best of the trilogy. It surprised a lot, there is so many things that just surprise you in a way that I usually don't see in any movie. The action is spectacular in this one, and with the amazing soundtrack and new theme, you just love it. The special effects are just incredible, really incredible,it seems very real when you see it and it is a really good movie. The actors are INCREDIBLE as always. Robert Downey Jr. is just a really good actor, no one could ever replace him. Gwyneth Paltrow was astonishing, Don Cheadle just nailed it, Guy Pearce was extraordinary, Ben Kingsley is always a honor to have him aboard and everyone performed well on their roles. Resuming: Good Action-CHECK, Good Visual Effects-CHECK, Good Soundtrack-CHECK, Good Acting-CHECK, Good Plot-CHECK and AMAZING EXPERIENCE.....................CHECK!!!!!!!!!!!!!! 10/10",28 April 2013," Iron Man 3 is the Best Movie of the Year
"
167,vicarious_tool,"This is a great movie, if you don't hate the action movie genre you'll most likely really enjoy it. If you liked Iron Man 1 but 2 not so much, you'll love 3. Great acting by Downey Jr. as usual. He keeps true to the brilliant, egotistical but moral Tony Stark, now trying to cope without much success with all that happened during The Avengers (like the fact that there are aliens). Many more innovations to the Iron Man suits in this one since Stark uses that as a diversion from his troubles. Kingsley was probably underused but acted his part well, as did Paltrow and Guy Pearce. The action scenes were all non-routine, brilliant and well executed and were plenty. Jarvis kicks ass like always. The plot I felt was quite good and not run of the mill at least as far as action flicks go. There was a good amount of emotional depth to the characters and their motives as well as a nice banter between Stark and some random kid he meets and a nice bit of comedy throughout the movie along with a twist in the middle and a few nice surprises here and there. The 2 hrs just buzzed by and I would definitely end up watching this movie again. Highly entertaining and heavily recommended.",27 April 2013," Sharp and engaging!
"
168,jan_kalina,"That is what Stark's opponent shouts at him during one fight. Stark's response is ""Sweetheart, a cheap trick and a cheesy one-liner could be the name of my autobiography"". Audiences have already come to expect such witty and self-referential dialogue from the the great writer Shane Black. Who is Shane Black, you ask? Well, you may not know him but you have certainly seen a lot of his films. This man is responsible for the greatness and awesomeness of the Lethal Weapon franchise, the wise- cracking Bruce Willis in The Last Boy Scout or Kiss Kiss Bang Bang ( which also stars Robert Downey Jr.)Iron Man 3 was marketed as a story where Tony Stark would meet an opponent that would break him physically and mentally. It all looked very dark and gloomy. I'm glad to say that the end result is far from a dark and gritty movie. It is actually the exact opposite. This film is just as funny and action packed as the previous Iron Man films. The main difference is that this film has taken completely different approach than any other Marvel movie. This film isn't just your typical superhero has to fight a new enemy and in the end he wins story. This is a detective story, where our favorite billionaire, playboy philanthropist in his battle against The Mandarin is forced to go on a full-tilt investigation, revisiting crime scenes, digging through evidence and even interviewing witnesses. More than just being a detective story, what makes it a Shane Black detective story is the connections to the classic noir. Tony Stark is experiencing his darkest and toughest days due to post-traumatic stress from the Battle of New York (although in The Avengers he was fine, wise-cracking and joking around), he loses his home, his hunt for The Mandarin takes him through all kinds of crazy reveals and plot twists. There's even great voice-over narration just in the likes of Raymond Chandler or Dashiell Hammett. You get more Tony Stark than Iron Man. Which doesn't mean that there is less action. No, you get plenty of action scenes just most of them are Tony being out of the suit.Robert Downey Jr. has now become the living embodiment of Tony Stark. When you think of Downey, the first character you associate with him Tony Stark/Iron Man. He is just so believable in this role. I can't imagine any other actor in this role, it just wouldn't be such fun. Gwyneth Paltrow finally gets some action scenes. The banter between Downey's Stark and Paltrow's Pepper isn't that funny and light-hearted as in the previous films. Their conversations are now more serious since they are in relationship. Don Cheadle doesn't get much screen time as Col. Rhodes but this is the funnest his character has ever been. Shane Black establishes this Lethal-Waponesque relationship between him and Tony. Ben Kingsley, well, without spoiling anything you have never seen him like this. Few years ago Guy Pearce has started playing villains and bad guys. Well, I can't complain about him he is great as always but I would just want to see him once in a while as the good guy, that's all.Brian Tyler's score is much more darker but also much more melodic. Finally we get Iron Man's heroic theme which is truly kick-ass and great to listen to. Iron Man 3 is not the superhero film I was expecting but that doesn't mean it is a bad thing. I'm glad that all those trailers, clips and TV spots didn't ruin the film. I was a lot surprised at all the stuff happening in the film. This film is also great Christmas movie. Black explains why Iron Man 3 (just as lot of his other films are set at Christmas:""It's a time of reckoning for a lot of people, when you take stock of how you got to where you are now and lonely people are lonelier at Christmas and you tend to notice things more acutely. Well, that describes the character's story in this film quite a lot. P.S. The end-credits scene isn't a tease for the next Marvel film but it gives Iron Man 3 a nice narrative framework.",25 May 2013," Is that all you've got? A cheap trick and a cheesy one-liner?
"
169,peterultraman,"It was overall a great movie to me.Lots of famous Marvel action scenes just like the Avengers, storyline continues from New York's alien attack.Kinda doesn't make sense to me though, how after an alien attack, why would there still be terrorists trying to kill each other as humans. But I guess it's how human natures are. Whenever there's nothing from out there, we kill each other...The ending, well, don't want to ruin y'all surprise, but it was definitely a bit sad to me. I don't know how the Avengers 2 will be filmed now, as though it seems to me that Tony Stark won't be able to show in Avengers 2 anymore.",3 May 2013," Great finale for the Iron Man Trilogy
"
170,pb-kubilay,"It can be the most gripping film I've ever seen. You can't get your eyes away from the movie. Acting and special effects are amazing. I am a big fan of Robert Downey Jr who had also starred in Sherlock Holmes. I also watched Iron Man and Iron Man 2. I was waiting for this movie. Some people think it is awful but I can recommend it to everybody. It is a spectacular film because it's not dull, slow and predictable. So, I suggest you to watch it. I might love this film because of the love I have towards Robert Downey Jr. The man is funny. When I watched Sherlock Holmes, I was impressed immediately too. Let's all get ready for a great film! Everybody should see Iron Man 3!",1 May 2013," awesome!
"
171,vr-amitri-276-575065,"I read user reviews last night and was kind of disappointing for what i will see. But this afternoon when i exited the show i was thrilled. Movie is good and too good. Tony Stark is bang on buck. Pepper surprises. Guy pierce is a very good actor but he is now often getting typecast. Effects were good (thanks to the scratch free 3D glasses i got, which is rare, i could actually watch the screen this time). I liked the whole setup in the movie on what and how tony does to get back at the bad guys.I am going back for one more show this week.",28 April 2013," Too good
"
172,amanyty,"I was amazingly surprised for how good the movie is, it combined adventure, comedy and suspense...and very well done. Robert Downey is so pretty, aging made wonders for him, or the photo shop... but really,he is awesome, the movie gets you connected from beginning to end, people did not stand up even during the credits in the end....I guess we all wanted more....loved it. I watched at the XD 3D movie theater, but XD is enough, don't need to be 3D. I love it when I see a sequel which I consider better than all the previous ones, means that the movie makers really took the audience seriously. Money well spent watching this movie in the movie theater.watched two times in threat re",3 May 2013," gr8 movie
"
173,derbomber910,"So, Iron Man 3 is excellent and I enjoyed it from beginning to end. It is by far my favorite Iron Man movie and I may have enjoyed it slightly more than the Avengers. The movie is brisk and damn funny. The action is great and I LOVE that TONY STARK is the star. The twist, hilarious. The villain, great. I liked the battles with the bads and the chemistry between all the characters. Im not putting many details, but I will say I have always liked Shane Black and his signature is ALL OVER this movie. From the Christmas theme, to the plucky kid its all there. Im sorry but it just works, if you like to laugh and enjoy fun then this movie will be the best thing out this summer. Loved it in every way.",30 April 2013," Most entertaining comic book movie I have watched
"
174,chachuymedina,"I think that this movie is just as good as the other two. As long as i am entertained throughout the whole film, I'm a happy camper. Me and my girlfriend just tried out the new D box feature(where the chairs move), it was an extra 7 bucks, but with this movie, it was worth it! The movie had its funny moments here and there, and the action is great! Love the action in this movie, it is pretty intense, and had my hands covering my mouth on some parts. I think that the average person would be pretty entertained. But i would compare it to The Avengers, and the Avengers was pretty remarkable. The Avengers had me talking for days, Iron man three just had me recommending people to watch the film. So if you want to see action and good entertainment(unlike scary movie 5) you would be a happy camper after watching this movie.",3 May 2013," A good film that i just loved
"
175,jojunno,"Occasionally in life there are those moments of unutterable fulfillment which cannot be completely explained by those symbols called words. This sequel is one such moment. I do need to see it again. In terms of pure enjoy-ability, I put it top 3 of all sequels that I have enjoyed.What I really liked...-Every single character gets a moment to shine and every single actor cast in these parts are perfect. -The comedy is perfect. It's such a fine balance overall and everything works because it's very subtle and fits in with certain circumstances. -Some very tender emotional scenes. I won't spoil anything with specifics. -Some superb action and what could very well be award winning special effects. -All characters interactions are great and handled very well. This is a fantasy story that really cares about character first and it shows all the way through. Even Natalie Portman's Jane feel more fleshed out than she did in the original film. -The set pieces and other realms talked about in the first are seen here and are beautiful and well done. Asgard was even better believe it or not. -The mid-credit and end credit scenes, both cool. Make sure you stay for both.Marvel hit a pure home run with this endeavor. This film works because of the great cast and the fact that they took this subject matter seriously but remember to have fun. Chris Hemsworth was again perfect. I thoroughly enjoyed this movie.",30 October 2013," Pure Enjoyment!
"
